epoch,acc,loss
0,0.5000000111758709,2.5000322759151459
1,0.5000000074505806,2.0254590958356857
2,0.5000000074505806,1.8195842280983925
3,0.5000000037252903,1.6825540661811829
4,0.50000000558793545,1.5838228687644005
5,0.5000000074505806,1.4804108068346977
6,0.5000000074505806,1.3934153914451599
7,0.49999999813735485,1.3110695481300354
8,0.50000000186264515,1.244281105697155
9,0.5000000074505806,1.1697050109505653
10,0.5000000037252903,1.1055874228477478
11,0.5,1.0451515540480614
12,0.50000000931322575,0.98433471471071243
13,0.5000000074505806,0.93491746485233307
14,0.50000000558793545,0.88744647800922394
15,0.5,0.84165233373641968
16,0.50000001490116119,0.80283323675394058
17,0.50000001676380634,0.76723205298185349
18,0.5000000074505806,0.74143402278423309
19,0.5000000037252903,0.70914329588413239
20,0.50000000186264515,0.68620967864990234
21,0.5000000074505806,0.66693949699401855
22,0.5000000074505806,0.64983487129211426
23,0.5000000074505806,0.63425634801387787
24,0.5000000111758709,0.62115158140659332
25,0.51250001043081284,0.61028764396905899
26,0.55000000912696123,0.60044203698635101
27,0.6874999962747097,0.5930197685956955
28,0.76250000298023224,0.5875927060842514
29,0.82499998807907104,0.58143138885498047
30,0.8749999925494194,0.57669997960329056
31,0.9374999925494194,0.57174325734376907
32,0.94999998807907104,0.56821802258491516
33,0.97499999403953552,0.56468801945447922
34,0.97499999403953552,0.56202532351016998
35,0.97499999403953552,0.55905871093273163
36,0.97499999403953552,0.55564495921134949
37,1.0,0.55304564535617828
38,1.0,0.55090820789337158
39,1.0,0.54768600314855576
40,1.0,0.54481983929872513
41,1.0,0.54286560416221619
42,1.0,0.53929151594638824
43,1.0,0.53639524430036545
44,1.0,0.53354640305042267
45,1.0,0.53092408925294876
46,1.0,0.52790161967277527
47,1.0,0.52468385547399521
48,1.0,0.52161436155438423
49,1.0,0.5182064101099968
50,1.0,0.5150129608809948
51,1.0,0.51162593066692352
52,1.0,0.50833352655172348
53,1.0,0.50453921407461166
54,1.0,0.5010109469294548
55,1.0,0.49721967801451683
56,1.0,0.49381519854068756
57,1.0,0.48928021639585495
58,1.0,0.48543287068605423
59,1.0,0.48115476593375206
60,1.0,0.47675744071602821
61,1.0,0.47216663137078285
62,1.0,0.46769426763057709
63,1.0,0.46287117153406143
64,1.0,0.45792018994688988
65,1.0,0.45291344448924065
66,1.0,0.4475298635661602
67,1.0,0.44249395653605461
68,1.0,0.43636072427034378
69,1.0,0.4304741658270359
70,1.0,0.42445377260446548
71,1.0,0.41813081875443459
72,1.0,0.41152064502239227
73,1.0,0.40485171228647232
74,1.0,0.39771059155464172
75,1.0,0.39019494876265526
76,1.0,0.38248381763696671
77,1.0,0.37478352338075638
78,1.0,0.36607907712459564
79,1.0,0.35734802857041359
80,1.0,0.34844410046935081
81,1.0,0.3385743573307991
82,1.0,0.32927530258893967
83,1.0,0.31855328008532524
84,1.0,0.30765842273831367
85,1.0,0.29719912260770798
86,1.0,0.28617202676832676
87,1.0,0.27546915598213673
88,1.0,0.26460368558764458
89,1.0,0.2534768283367157
90,1.0,0.24341216683387756
91,1.0,0.23202680982649326
92,1.0,0.22117342799901962
93,1.0,0.2101491242647171
94,1.0,0.19993468560278416
95,1.0,0.18975584954023361
96,1.0,0.18026223964989185
97,1.0,0.17112133465707302
98,1.0,0.16273173503577709
99,1.0,0.1542262751609087
100,1.0,0.14562894031405449
101,1.0,0.137587646022439
102,1.0,0.12956323102116585
103,1.0,0.1215811800211668
104,1.0,0.11375860776752234
105,1.0,0.10694022756069899
106,1.0,0.10056854411959648
107,1.0,0.095763571560382843
108,1.0,0.091343652456998825
109,1.0,0.087097389157861471
110,1.0,0.083236370235681534
111,1.0,0.079342329874634743
112,1.0,0.076019272673875093
113,1.0,0.072900888044387102
114,1.0,0.069944994058459997
115,1.0,0.067222140729427338
116,1.0,0.064591204281896353
117,1.0,0.062176666688174009
118,1.0,0.059996538329869509
119,1.0,0.057628541253507137
120,1.0,0.05565987154841423
121,1.0,0.053699364420026541
122,1.0,0.051821078173816204
123,1.0,0.050070794299244881
124,1.0,0.048334486782550812
125,1.0,0.046708093490451574
126,1.0,0.045137193519622087
127,1.0,0.043598283547908068
128,1.0,0.042225763434544206
129,1.0,0.040774593828245997
130,1.0,0.039433927275240421
131,1.0,0.038103759521618485
132,1.0,0.036977792624384165
133,1.0,0.03571359277702868
134,1.0,0.034500111825764179
135,1.0,0.033374089282006025
136,1.0,0.032320837723091245
137,1.0,0.031366901472210884
138,1.0,0.030442866496741772
139,1.0,0.029264312935993075
140,1.0,0.028291847323998809
141,1.0,0.027340968139469624
142,1.0,0.026435274630784988
143,1.0,0.025515606859698892
144,1.0,0.024572601541876793
145,1.0,0.023716884315945208
146,1.0,0.022938474779948592
147,1.0,0.022072575171478093
148,1.0,0.021275153383612633
149,1.0,0.020505012362264097
